업종명,업소명,소재지,소재지전화번호,데이터기준일자
제과점영업,인천당,인천광역시 중구 인현동 23 ,032-766-0287,2020-09-15
제과점영업,파리바게트 연안부두점,"인천광역시 중구 축항대로86번길 38 (항동7가, 58-3번지 라이프상가 1층 106호 107호 110호)",032-885-2448,2020-09-15
제과점영업,도미노피자 동인천역점,"인천광역시 중구 참외전로 188 (율목동, 1층)",032-761-3094,2020-09-15
제과점영업,신포과자점,"인천광역시 중구 우현로 45 (신포동, 9)",032-761-0229,2020-09-15
제과점영업,배스킨라빈스,인천광역시 중구 우현로87번길 2 (인현동),032-764-2888,2020-09-15
제과점영업,한국맥도날드동인천점,"인천광역시 중구 우현로 85-1 (인현동, 27-3번지 1층,2층)",032-766-2987,2020-09-15
제과점영업,(주)신세계푸드 이베이커리 동인천점,"인천광역시 중구 인중로 134 (신생동, 이마트동인천점)",032-777-8183,2020-09-15
제과점영업,신흥맥도날드,인천광역시 중구 인항로 38 (신흥동3가),032-882-0761,2020-09-15
제과점영업,캄파뉴 파티스리,"인천광역시 중구 제물량로 156 (신생동, 7-37번지 1층)",032-766-2882,2020-09-15
제과점영업,파리바게뜨공항신도시점,"인천광역시 중구 흰바위로 31, 110호 (운서동, 에어로시티)",032-751-9090,2020-09-15
제과점영업,롯데리아동인천역점,"인천광역시 중구 참외전로 122 (인현동, (1층,2층) )",032-762-5700,2020-09-15
제과점영업,프렌치빌,"인천광역시 중구 신포로 27-1, 1,2층 (관동3가)",032-772-0765,2020-09-15
제과점영업,던킨도너츠,"인천광역시 중구 신도시남로149번길 17, 101호 (운서동, 다섬프라자)",032-764-9010,2020-09-15
제과점영업,뚜레쥬르신공항신도시,"인천광역시 중구 흰바위로 41, 105호 (운서동, 영종에어포트1)",032-747-0350,2020-09-15
제과점영업,(주)신세계푸드 데이앤데이 인천공항점,"인천광역시 중구 공항로424번길 36, 지하1층 (운서동, 에어조이)",032-743-5513,2020-09-15
제과점영업,중앙제과,"인천광역시 중구 운중로 212, 1층 (중산동)",,2020-09-15
제과점영업,중국제과,"인천광역시 중구 차이나타운로 39-1, 1층 (북성동3가)",032-773-8800,2020-09-15
제과점영업,복래춘,"인천광역시 중구 차이나타운로55번길 20-1, 1층 (선린동)",032-772-3522,2020-09-15
제과점영업,델리,"인천광역시 중구 영종해안남로321번길 208, 1층 (운서동)",032-745-1234,2020-09-15
제과점영업,파리바게뜨 인천공항탑승동점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-7183,2020-09-15
제과점영업,빵이야기,"인천광역시 중구 우현로45번길 6 (신포동, 1층)",032-763-9555,2020-09-15
제과점영업,파리바게트 인하대병원점,"인천광역시 중구 인항로 27 (신흥동3가, 지하1층)",032-884-0573,2020-09-15
제과점영업,빚은 인하대병원점,"인천광역시 중구 인항로 27 (신흥동3가, 인하대병원 지하1층 B109호 )",,2020-09-15
제과점영업,파리바게뜨 신포시장점,"인천광역시 중구 우현로 49-1 (내동, 1,2층)",032-765-0120,2020-09-15
제과점영업,중국제과 담,"인천광역시 중구 차이나타운로 55 (선린동, 1층,2층)",032-773-8807,2020-09-15
제과점영업,파리바게뜨 인천역점,"인천광역시 중구 제물량로 270-1 (북성동2가, 1층)",,2020-09-15
제과점영업,뚜레쥬르 신흥점,"인천광역시 중구 서해대로464번길 7 (선화동, 1-1, 1층)",032-891-3470,2020-09-15
제과점영업,인디오븐신공항점,"인천광역시 중구 신도시남로141번길 7, 104호 (운서동, 신공항프라자)",032-752-4949,2020-09-15
제과점영업,유진이네,"인천광역시 중구 도원서길 20-2 (선화동, 30-27번지  1층)",032-233-9579,2020-09-15
제과점영업,파리바게트,"인천광역시 중구 서해대로 458 (신흥동2가, 5-1번지 1층,2층)",032-433-4604,2020-09-15
제과점영업,뚜레쥬르영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 29, 111,112-2호 (중산동, 진로프라자)",032-752-0040,2020-09-15
제과점영업,명품도너츠,"인천광역시 중구 제물량로 66 (신흥동3가, 1층)",032-882-8030,2020-09-15
제과점영업,빠리바게트,"인천광역시 중구 하늘별빛로65번길 7-4, 105호 (중산동, 현대프라자)",032-746-0707,2020-09-15
제과점영업,차이나 짱나라,"인천광역시 중구 차이나타운로 31 (북성동3가, 1층)",,2020-09-15
제과점영업,파스쿠찌 인천공항점,"인천광역시 중구 공항로 272, 면세동 2,3층 (운서동, 인천국제공항여객터미널)",032-743-7510,2020-09-15
제과점영업,앤티앤스,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-0955,2020-09-15
제과점영업,파리크라상키친 인천공항점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-3500,2020-09-15
제과점영업,던킨도너츠 인천공항1호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15
제과점영업,던킨도너츠 인천공항2호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15
제과점영업,던킨도너츠 인천공항4호점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15
제과점영업,리나스 인천공항점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-3501,2020-09-15
제과점영업,던킨도너츠 인천공항3호점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15
제과점영업,파리바게뜨 인천공항 에어사이드점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-7181,2020-09-15
제과점영업,앤티앤스 인천공항 2호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-0956,2020-09-15
제과점영업,파리크라상 인천공항탑승동점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-3502,2020-09-15
제과점영업,던킨도너츠 영종하늘도시점,"인천광역시 중구 하늘별빛로 71, 110,111호 (중산동, 타임프라자)",,2020-09-15
제과점영업,파리바게뜨 운서점,"인천광역시 중구 넙디로 13, 101일부호 (운서동)",032-746-0533,2020-09-15
제과점영업,토모루,"인천광역시 중구 하늘별빛로 71, 타임프라자 107호,604호 (중산동)",032-746-6498,2020-09-15
제과점영업,산동공갈빵,"인천광역시 중구 우현로49번길 33 (신포동, 1층)",032-764-3449,2020-09-15
제과점영업,던킨도너츠 인천공항랜드점,"인천광역시 중구 공항로 272, 일반동 4층 FB3(FB-P6-44-1)호 (운서동, 인천국제공항여객터미널)",,2020-09-15
제과점영업,파리바게뜨 영종스카이,"인천광역시 중구 하늘달빛로 78, 101,102호 (중산동, 영종힐링프라자)",,2020-09-15
제과점영업,제과주방,"인천광역시 중구 영종해안남로321번길 186, 지하1층 (운서동, 파라다이스시티)",,2020-09-15
제과점영업,프렌치빌,"인천광역시 중구 신포로 40, 2층 (내동)",,2020-09-15
제과점영업,커피앳웍스 인천공항1호점(coffee@works),"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-0502,2020-09-15
제과점영업,커피앳웍스 인천공항2호점(coffee@works),"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-1008,2020-09-15
제과점영업,잠바주스 인천공항1호점(jamba juice),"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-7175,2020-09-15
제과점영업,잠바주스 인천공항2호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-8209,2020-09-15
제과점영업,잠바주스 인천공항3호점,"인천광역시 중구 공항로 272, 일반동 4층 (운서동, 인천국제공항여객터미널)",032-743-8211,2020-09-15
제과점영업,프랑세즈단팥빵,"인천광역시 중구 용유서로 170, 1층 (을왕동)",032-751-2772,2020-09-15
제과점영업,베이커루이#(Baker Louis#),"인천광역시 중구 화랑목로100번길 73, 103호 (운서동)",032-746-8044,2020-09-15
제과점영업,우리동네식빵,"인천광역시 중구 흰바위로 22, 상가동 107호 (운서동, 영종2차금호베스트빌)",032-752-6279,2020-09-15
제과점영업,꿈베이커리,"인천광역시 중구 반달로14번길 14, 1층 101호 (북성동1가)",,2020-09-15
제과점영업,네스트 델리,"인천광역시 중구 영종해안남로 19-5, 네스트호텔 2층 (운서동)",032-743-9150,2020-09-15
제과점영업,케이크러버스(CAKELOVES),인천광역시 중구 참외전로 107 (인현동),,2020-09-15
제과점영업,커피앳웍스 공항전망대점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 4층 (운서동)",032-743-0503,2020-09-15
제과점영업,커피앳웍스 T2에어사이드점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",032-743-3786,2020-09-15
제과점영업,파리크라상 인천공항 문화의거리,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 4층 (운서동)",,2020-09-15
제과점영업,파리바게뜨 인천공항플라워점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 1층 (운서동)",,2020-09-15
제과점영업,잠바주스 인천공항T2 2호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",032-743-0080,2020-09-15
제과점영업,던킨도너츠 인천공항6호점,"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",02-2276-4755,2020-09-15
제과점영업,던킨도너츠 인천공항7호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",02-2276-4755,2020-09-15
제과점영업,던킨도너츠 인천공항8호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",02-2276-4755,2020-09-15
제과점영업,행복한베이커리&카페 인천공항점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 1층 (운서동)",032-743-6611,2020-09-15
제과점영업,파리크라상 인천공항 에어사이드(T2),"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",032-743-8721,2020-09-15
제과점영업,파리크라상 인천공항 교통센터(T2),"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",,2020-09-15
제과점영업,잠바주스 인천공항T2 1호점,"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",032-743-0074,2020-09-15
제과점영업,파리바게뜨 인천공항가든점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",,2020-09-15
제과점영업,커피앳웍스 T2랜드사이드점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",032-743-3778,2020-09-15
제과점영업,호앤화 도너츠,"인천광역시 중구 우현로49번길 19, 1층 (신포동)",,2020-09-15
제과점영업,"떡,다온","인천광역시 중구 하늘별빛로 59, 113호 (중산동)",032-747-0770,2020-09-15
제과점영업,던킨 CF인천공항브릿지점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 2층 (운서동)",,2020-09-15
제과점영업,잠바주스 인천공항4호점,"인천광역시 중구 공항로 272, 인천공항제1터미널 탑승동 3층 (운서동)",,2020-09-15
제과점영업,파스쿠찌 인천공항L/S(2층)점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 2층 (운서동)",032-743-7527,2020-09-15
제과점영업,파스쿠찌 인천공항탑승동점,"인천광역시 중구 공항로 272, 인천공항제1터미널 탑승동 3층 (운서동)",032-743-7211,2020-09-15
제과점영업,도레도레 인천공항 교통센터점,"인천광역시 중구 공항로 271, 인천공항 제1교통센터 지하1층 (운서동)",,2020-09-15
제과점영업,대구근대골목단팥빵,"인천광역시 중구 공항로 271, 인천공항 제1교통센터 지하1층 (운서동)",1666-1883,2020-09-15
제과점영업,대구근대골목단팥빵,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널 지하1층 (운서동)",1666-1883,2020-09-15
제과점영업,잠바주스 인천공항T2-3호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",,2020-09-15
제과점영업,토모루 베이커리,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 1층 110,111호 (운서동)",032-746-0408,2020-09-15
제과점영업,파파브로트,"인천광역시 중구 운남로 166, 중구농협종합청사 1층 (운남동)",,2020-09-15
제과점영업,미왕,"인천광역시 중구 차이나타운로 28, 1층 (북성동2가)",,2020-09-15
제과점영업,스타파이브,"인천광역시 중구 공항서로 133-1, 1층 (덕교동)",,2020-09-15
제과점영업,스타파이브(제빵),"인천광역시 중구 공항서로 135, 1층 (덕교동)",,2020-09-15
제과점영업,가든카페(Garden cafe),"인천광역시 중구 영종해안남로321번길 186, 1층 (운서동)",,2020-09-15
제과점영업,파카롱 디저트카페,"인천광역시 중구 하늘달빛로64번길 6-3, 스카이 메디컬 프라자 103호 (중산동)",032-751-5469,2020-09-15
제과점영업,파카롱 베이킹스튜디오,"인천광역시 중구 영종대로 84, 신공항파크빌 205, 206호 (운서동)",,2020-09-15
제과점영업,브레드판다(BREAD PANDA),"인천광역시 중구 용유로745번길 14-1, 1층 일부층 (을왕동)",,2020-09-15
제과점영업,잠바주스 인천공항5호점,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널 일반동 3층 FB-P5-03호 (운서동)",,2020-09-15
제과점영업,빚은 인천공항 kiosk점,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널 일반동 3층 FB-P5-07호 (운서동)",,2020-09-15
제과점영업,(주)파리크라상 커피앳웍스 T1키오스크점,"인천광역시 중구 공항로 272, 일반동 3층 출국장, FB-P5-02 인천국제공항 제1여객터미널 (운서동)",,2020-09-15
제과점영업,던킨도너츠 T1인천공항키오스크,"인천광역시 중구 공항로 272, 인천공항제1터미널 출국장 3층 FB6(FB-P5-08)호 (운서동)",02-2276-4895,2020-09-15
제과점영업,유한회사 마미갸또영종도,"인천광역시 중구 흰바위로 51, 롯데마트 1층 일부 (운서동)",,2020-09-15
제과점영업,(주)신세계푸드이베이커리동인천점2,"인천광역시 중구 인중로 134, 동인천이마트 1층 (신생동)",032-777-8183,2020-09-15
제과점영업,파리바게트 영종하늘점,"인천광역시 중구 운남로 150, 1층 104,105,106호 (운남동)",032-746-8202,2020-09-15
제과점영업,뚜레쥬르 동인천점,인천광역시 중구 자유공원로 3-12 (인현동),,2020-09-15
제과점영업,파리바게트 운서프라자점,"인천광역시 중구 백년로128번길 21, 1층 105,106호 (운서동)",032-752-4554,2020-09-15
제과점영업,PAIN DE 오늘,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 1층 117호 (중산동)",,2020-09-15
제과점영업,성수동 꿀꽈배기 영종운서역점,"인천광역시 중구 영종대로196번길 19, 지엘플렉스 1층 109호 (운서동)",032-752-2390,2020-09-15
제과점영업,롤링핀(운서역점),"인천광역시 중구 영종대로 106, 1층 101,102호 (운서동)",,2020-09-15
제과점영업,파리크라상 커피앳웍스 T1랜드사이드점,"인천광역시 중구 공항로 272, 인천국제공항 제1여객터미널 3층 출국장 FB-P5-05호 일부 (운서동)",,2020-09-15
제과점영업,파리바게뜨 T1랜드사이드점,"인천광역시 중구 공항로 272, 인천국제공항 제1여객터미널 3층 출국장 FB-P5-05호 일부 (운서동)",02-2276-6377,2020-09-15
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
