No,업종명,업소명,소재지,소재지전화번호,데이터기준일자,경도,위도,상태
1,제과점영업,인천당,인천광역시 중구 인현동 23 ,032-766-0287,2020-09-15,126.631927399262,37.4743545500848,인근좌표
2,제과점영업,파리바게트 연안부두점,"인천광역시 중구 축항대로86번길 38 (항동7가, 58-3번지 라이프상가 1층 106호 107호 110호)",032-885-2448,2020-09-15,126.604685244377,37.4535787278773,정좌표
3,제과점영업,도미노피자 동인천역점,"인천광역시 중구 참외전로 188 (율목동, 1층)",032-761-3094,2020-09-15,126.63645891358,37.4714094450975,정좌표
4,제과점영업,신포과자점,"인천광역시 중구 우현로 45 (신포동, 9)",032-761-0229,2020-09-15,126.62808105737,37.4712983442441,정좌표
5,제과점영업,배스킨라빈스,인천광역시 중구 우현로87번길 2 (인현동),032-764-2888,2020-09-15,126.630548378076,37.4747866986825,정좌표
6,제과점영업,한국맥도날드동인천점,"인천광역시 중구 우현로 85-1 (인현동, 27-3번지 1층,2층)",032-766-2987,2020-09-15,126.630433750166,37.4746145998732,정좌표
7,제과점영업,(주)신세계푸드 이베이커리 동인천점,"인천광역시 중구 인중로 134 (신생동, 이마트동인천점)",032-777-8183,2020-09-15,126.629174408638,37.4665518174055,정좌표
8,제과점영업,신흥맥도날드,인천광역시 중구 인항로 38 (신흥동3가),032-882-0761,2020-09-15,126.634492012701,37.4569904766428,정좌표
9,제과점영업,캄파뉴 파티스리,"인천광역시 중구 제물량로 156 (신생동, 7-37번지 1층)",032-766-2882,2020-09-15,126.626445458499,37.4703319204517,정좌표
10,제과점영업,파리바게뜨공항신도시점,"인천광역시 중구 흰바위로 31, 110호 (운서동, 에어로시티)",032-751-9090,2020-09-15,126.488460686157,37.4927661581271,정좌표
11,제과점영업,롯데리아동인천역점,"인천광역시 중구 참외전로 122 (인현동, (1층,2층) )",032-762-5700,2020-09-15,126.630885990091,37.4754190413054,정좌표
12,제과점영업,프렌치빌,"인천광역시 중구 신포로 27-1, 1,2층 (관동3가)",032-772-0765,2020-09-15,126.625071498528,37.4715409117341,정좌표
13,제과점영업,던킨도너츠,"인천광역시 중구 신도시남로149번길 17, 101호 (운서동, 다섬프라자)",032-764-9010,2020-09-15,126.488421368903,37.4945279233316,정좌표
14,제과점영업,뚜레쥬르신공항신도시,"인천광역시 중구 흰바위로 41, 105호 (운서동, 영종에어포트1)",032-747-0350,2020-09-15,126.489476968667,37.4927421379184,정좌표
15,제과점영업,(주)신세계푸드 데이앤데이 인천공항점,"인천광역시 중구 공항로424번길 36, 지하1층 (운서동, 에어조이)",032-743-5513,2020-09-15,126.457711462142,37.4398192875539,정좌표
16,제과점영업,중앙제과,"인천광역시 중구 운중로 212, 1층 (중산동)",,2020-09-15,126.5544227683,37.4992782432397,정좌표
17,제과점영업,중국제과,"인천광역시 중구 차이나타운로 39-1, 1층 (북성동3가)",032-773-8800,2020-09-15,126.619793887695,37.4758732260069,정좌표
18,제과점영업,복래춘,"인천광역시 중구 차이나타운로55번길 20-1, 1층 (선린동)",032-772-3522,2020-09-15,126.619407457057,37.4741678906512,정좌표
19,제과점영업,델리,"인천광역시 중구 영종해안남로321번길 208, 1층 (운서동)",032-745-1234,2020-09-15,126.457465152101,37.4404627424165,정좌표
20,제과점영업,파리바게뜨 인천공항탑승동점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-7183,2020-09-15,126.449105797309,37.4575365974582,정좌표
21,제과점영업,빵이야기,"인천광역시 중구 우현로45번길 6 (신포동, 1층)",032-763-9555,2020-09-15,126.627798302996,37.4713616047487,정좌표
22,제과점영업,파리바게트 인하대병원점,"인천광역시 중구 인항로 27 (신흥동3가, 지하1층)",032-884-0573,2020-09-15,126.633928739755,37.4584667205536,정좌표
23,제과점영업,빚은 인하대병원점,"인천광역시 중구 인항로 27 (신흥동3가, 인하대병원 지하1층 B109호 )",,2020-09-15,126.633928739755,37.4584667205536,정좌표
24,제과점영업,파리바게뜨 신포시장점,"인천광역시 중구 우현로 49-1 (내동, 1,2층)",032-765-0120,2020-09-15,126.628345335699,37.4717295140273,정좌표
25,제과점영업,중국제과 담,"인천광역시 중구 차이나타운로 55 (선린동, 1층,2층)",032-773-8807,2020-09-15,126.618692334379,37.4746335101467,정좌표
26,제과점영업,파리바게뜨 인천역점,"인천광역시 중구 제물량로 270-1 (북성동2가, 1층)",,2020-09-15,126.617594224149,37.4758703383569,정좌표
27,제과점영업,뚜레쥬르 신흥점,"인천광역시 중구 서해대로464번길 7 (선화동, 1-1, 1층)",032-891-3470,2020-09-15,126.636622636808,37.4673140308213,정좌표
28,제과점영업,인디오븐신공항점,"인천광역시 중구 신도시남로141번길 7, 104호 (운서동, 신공항프라자)",032-752-4949,2020-09-15,126.489509172146,37.4937102626567,정좌표
29,제과점영업,유진이네,"인천광역시 중구 도원서길 20-2 (선화동, 30-27번지  1층)",032-233-9579,2020-09-15,126.636165612062,37.4665546424685,정좌표
30,제과점영업,파리바게트,"인천광역시 중구 서해대로 458 (신흥동2가, 5-1번지 1층,2층)",032-433-4604,2020-09-15,126.635243933116,37.4667451150066,정좌표
31,제과점영업,뚜레쥬르영종하늘도시점,"인천광역시 중구 하늘중앙로195번길 29, 111,112-2호 (중산동, 진로프라자)",032-752-0040,2020-09-15,126.562854376525,37.4889890867498,정좌표
32,제과점영업,명품도너츠,"인천광역시 중구 제물량로 66 (신흥동3가, 1층)",032-882-8030,2020-09-15,126.635404144964,37.4660893872746,정좌표
33,제과점영업,빠리바게트,"인천광역시 중구 하늘별빛로65번길 7-4, 105호 (중산동, 현대프라자)",032-746-0707,2020-09-15,126.563597734205,37.4887359371716,정좌표
34,제과점영업,차이나 짱나라,"인천광역시 중구 차이나타운로 31 (북성동3가, 1층)",,2020-09-15,126.619425538986,37.4764822223525,정좌표
35,제과점영업,파스쿠찌 인천공항점,"인천광역시 중구 공항로 272, 면세동 2,3층 (운서동, 인천국제공항여객터미널)",032-743-7510,2020-09-15,126.449105797309,37.4575365974582,정좌표
36,제과점영업,앤티앤스,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-0955,2020-09-15,126.449105797309,37.4575365974582,정좌표
37,제과점영업,파리크라상키친 인천공항점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-3500,2020-09-15,126.449105797309,37.4575365974582,정좌표
38,제과점영업,던킨도너츠 인천공항1호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
39,제과점영업,던킨도너츠 인천공항2호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
40,제과점영업,던킨도너츠 인천공항4호점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
